candidate,constituency,party,criminal_cases,education,total_assets,liabilities
Debnath Hansda,BINPUR (ST),AITC,0,8th Pass,364500,0
Debopam Chattopadhyaya(Babu),BARUIPUR PASCHIM,BJP,2,Graduate,1526057,155846
Debranjan Mahato,BAGHMUNDI,AIFB,0,Post Graduate,1100671,0
Debtanu Bhattacharya,AMTA,BJP,2,Graduate,289770,0
Debu Chatterjee,BISHNUPUR,INC,0,Graduate,5744507,0
Deepak Ram,FALTA,IND,0,10th Pass,24000,0
Dhirendra Nath Mahato,JOYPUR,AIFB,0,8th Pass,1158364,0
Dhruba Sekhar Mandal,DASPUR,CPI(M),0,10th Pass,2750983,2123345
Dhurjati Saha (Manas),MAGRAHAT PASCHIM,BJP,0,Graduate,5764132,0
Dibakar Gharami,SONAMUKHI (SC),BJP,0,8th Pass,497000,0
Dibakar Hansda,BINPUR (ST),CPI(M),0,12th Pass,1334236,4000
Dibya Joti Singh Deo,JOYPUR,IND,0,10th Pass,22243,0
Dilip Kumar Hait,AMTA,IND,0,Post Graduate,980900,500000
Dilip Kumar Jatua,MANDIRBAZAR (SC),BJP,9,12th Pass,6810000,60000
Dilip Mondal,BISHNUPUR (SC),AITC,1,12th Pass,15903820,5505267
Dilip Yadav,PURSURAH,AITC,1,10th Pass,18062199,3152281
Dinabandhu Bauri,CHHATNA,Bahujan Mukti Party,0,12th Pass,370000,0
Dinanath Chatterjee,CHHATNA,IND,0,12th Pass,6491916,0
Dinen Roy,KHARAGPUR,AITC,13,12th Pass,37019486,0
Dipak Kumar,BALARAMPUR,SUCI(C),0,12th Pass,0,0
Dipak Kumar Gayen,NANDIGRAM,IND,0,Graduate,1269434,650000
Dipak Kumar Halder,DIAMOND HARBOUR,BJP,4,Graduate,10462970,85292
Dipak Kumar Mahato,KASHIPUR,SUCI(C),0,Graduate,774168,300000
Dipankar Jana,KAKDWIP,BJP,2,Graduate,144192077,42686883
Dipankar Maity,DEBRA,SUCI(C),0,Graduate,469000,0
Dipen Bauri,SALTORA (SC),SUCI(C),0,10th Pass,156500,0
Dr. Karabi Manna,HARIPAL,AITC,0,Others,21104407,1368413
